path,game_id,game_name,year_month,listing_type,listing_type_label,rows,bytes,price_candidate_rows,strict_price_rows,min_posted_at,max_posted_at
partitions/pokemoncardgame/2026-06/buy.csv,pokemoncardgame,포켓몬 카드게임,2026-06,buy,구매,588,346420,354,6,2026-06-01T14:54:05+09:00,2026-06-30T23:30:36+09:00
partitions/pokemoncardgame/2026-06/sell.csv,pokemoncardgame,포켓몬 카드게임,2026-06,sell,판매,3137,1998445,1192,3,2026-06-01T02:21:32+09:00,2026-06-30T23:22:04+09:00
partitions/pokemoncardgame/2026-06/unknown.csv,pokemoncardgame,포켓몬 카드게임,2026-06,unknown,미분류,5521,3620308,1625,0,2026-06-01T13:15:24+09:00,2026-06-30T23:47:26+09:00
partitions/pokemoncardgame/2026-07/buy.csv,pokemoncardgame,포켓몬 카드게임,2026-07,buy,구매,674,409744,437,3,2026-07-01T06:08:39+09:00,2026-07-31T20:08:27+09:00
partitions/pokemoncardgame/2026-07/sell.csv,pokemoncardgame,포켓몬 카드게임,2026-07,sell,판매,5583,3875889,720,177,2026-07-01T01:02:45+09:00,2026-07-31T20:14:36+09:00
partitions/pokemoncardgame/2026-07/unknown.csv,pokemoncardgame,포켓몬 카드게임,2026-07,unknown,미분류,1754,1118158,864,0,2026-07-01T01:10:01+09:00,2026-07-31T14:33:09+09:00
partitions/pokemoncardgame/2026-08/buy.csv,pokemoncardgame,포켓몬 카드게임,2026-08,buy,구매,393,245303,139,6,2026-08-01T16:09:39+09:00,2026-08-13T08:55:21+09:00
partitions/pokemoncardgame/2026-08/sell.csv,pokemoncardgame,포켓몬 카드게임,2026-08,sell,판매,2172,1779519,758,345,2026-08-01T01:21:58+09:00,2026-08-13T17:09:45+09:00
partitions/pokemoncardgame/2026-08/trade.csv,pokemoncardgame,포켓몬 카드게임,2026-08,trade,교환,8,6496,0,0,2026-08-10T20:01:31+09:00,2026-08-10T20:01:31+09:00
partitions/pokemoncardgame/2026-08/unknown.csv,pokemoncardgame,포켓몬 카드게임,2026-08,unknown,미분류,809,509590,429,0,2026-08-01T12:05:50+09:00,2026-08-13T16:26:22+09:00
partitions/tcggame/2026-07/buy.csv,tcggame,유희왕,2026-07,buy,구매,1726,1026017,1268,5,2026-07-07T10:48:36+09:00,2026-07-31T21:30:03+09:00
partitions/tcggame/2026-07/sell.csv,tcggame,유희왕,2026-07,sell,판매,19451,11953913,10593,9,2026-07-07T11:34:55+09:00,2026-07-31T23:59:01+09:00
partitions/tcggame/2026-07/trade.csv,tcggame,유희왕,2026-07,trade,교환,15,10344,5,0,2026-07-12T23:40:02+09:00,2026-07-24T18:42:17+09:00
partitions/tcggame/2026-07/unknown.csv,tcggame,유희왕,2026-07,unknown,미분류,3294,2064339,1639,0,2026-07-07T11:10:43+09:00,2026-07-31T21:13:10+09:00
partitions/tcggame/2026-08/buy.csv,tcggame,유희왕,2026-08,buy,구매,2689,1571020,1922,0,2026-08-01T00:16:52+09:00,2026-08-13T16:57:38+09:00
