gallery_id,post_title,post_url,posted_at,card_name,rarity,raw_price,price_krw,price_unit,quantity,shipping_included,author_name,author_type,shipping_price_krw,review_status,review_reason,raw_line,post_status,price_status,price_scope,price_origin,analysis_status,card_match_status,seller_id,seller_name,seller_risk_score,seller_risk_level,seller_review_status,is_repost
tcggame,자기전에 쓰는 레볼부 버프로 등등 판맥글,https://m.dcinside.com/board/tcggame/4320041,2026-08-23T23:43:56+09:00,마인드 스캔,시크,0.2,2000,만원 단위 추정,1,unknown,흑마도의커튼,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",마인드 스캔 시크 0.2,active,estimated,per_card,text,needs_review,candidate,seller-26c8655447e6756414d82ed9,흑마도의커튼,15,low,unreviewed,0
tcggame,자기전에 쓰는 레볼부 버프로 등등 판맥글,https://m.dcinside.com/board/tcggame/4320041,2026-08-23T23:43:56+09:00,위치크래프크 퓨필즈,,0.2,2000,만원 단위 추정,1,unknown,흑마도의커튼,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",위치크래프크 퓨필즈 0.2,active,estimated,per_card,text,needs_review,candidate,seller-26c8655447e6756414d82ed9,흑마도의커튼,15,low,unreviewed,0
tcggame,자기전에 쓰는 레볼부 버프로 등등 판맥글,https://m.dcinside.com/board/tcggame/4320041,2026-08-23T23:43:56+09:00,언체인드 3꽉,,1.1,11000,만원 단위 추정,1,unknown,흑마도의커튼,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",언체인드 3꽉 1.1,active,estimated,per_card,text,needs_review,candidate,seller-26c8655447e6756414d82ed9,흑마도의커튼,15,low,unreviewed,0
tcggame,안팔린거 ㅍㅍ,https://m.dcinside.com/board/tcggame/4320018,2026-08-23T23:21:21+09:00,오버울 +스정싱옵프,,2.8,28000,만원 단위 추정,5,unknown,뉴마노,guest,,needs_review,"가격 단위 추정, 수량 표기 감지, 일괄·세트 가격, 복수 카드 가격, 배송비 포함 여부 미확정, 묶음·세트 총액 · 개별 카드 가격 아님",오버울 5장+스정싱옵프 일괄 2.8,active,estimated,bundle,text,needs_review,candidate,seller-692f5cdf182b744af4c60292,뉴마노,15,low,unreviewed,0
tcggame,안팔린거 ㅍㅍ,https://m.dcinside.com/board/tcggame/4320018,2026-08-23T23:21:21+09:00,성상 옵프,,,,미기재,1,unknown,뉴마노,guest,,needs_review,수량 표기 감지 · 가격 미기재,성상 옵프 1,active,missing,unknown,unknown,needs_review,candidate,seller-692f5cdf182b744af4c60292,뉴마노,15,low,unreviewed,0
tcggame,안팔린거 ㅍㅍ,https://m.dcinside.com/board/tcggame/4320018,2026-08-23T23:21:21+09:00,환문,프싴,,,미기재,3,unknown,뉴마노,guest,,needs_review,수량 표기 감지 · 가격 미기재,환문 프싴 3,active,missing,unknown,unknown,needs_review,candidate,seller-692f5cdf182b744af4c60292,뉴마노,15,low,unreviewed,0
tcggame,안팔린거 ㅍㅍ,https://m.dcinside.com/board/tcggame/4320018,2026-08-23T23:21:21+09:00,팬시볼,프싴,,,미기재,2,unknown,뉴마노,guest,,needs_review,수량 표기 감지 · 가격 미기재,팬시볼 프싴 2,active,missing,unknown,unknown,needs_review,candidate,seller-692f5cdf182b744af4c60292,뉴마노,15,low,unreviewed,0
tcggame,안팔린거 ㅍㅍ,https://m.dcinside.com/board/tcggame/4320018,2026-08-23T23:21:21+09:00,개기일식,프싴,,,미기재,1,unknown,뉴마노,guest,,needs_review,수량 표기 감지 · 가격 미기재,개기일식 프싴 1,active,missing,unknown,unknown,needs_review,candidate,seller-692f5cdf182b744af4c60292,뉴마노,15,low,unreviewed,0
tcggame,안팔린거 ㅍㅍ,https://m.dcinside.com/board/tcggame/4320018,2026-08-23T23:21:21+09:00,소환수 셋또,,2.5,25000,만원 단위 추정,1,unknown,뉴마노,guest,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",소환수 셋또 2.5,active,estimated,per_card,text,needs_review,candidate,seller-692f5cdf182b744af4c60292,뉴마노,15,low,unreviewed,0
tcggame,여러가지 ㅍㅍ,https://m.dcinside.com/board/tcggame/4320015,2026-08-23T23:14:14+09:00,젠나노츠이나기 히메 울레 장당,,0.2,2000,만원 단위 추정,1,unknown,canival,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",젠나노츠이나기 히메 울레 장당 0.2,active,estimated,per_card,text,needs_review,candidate,seller-3b984c4676ed589cf624d9ed,canival,15,low,unreviewed,0
